formula,band_gap
Mn2As,0.0
Mn2AlW,0.0
Mn2AlV,0.0
Mn2AsO5,0.0
Mn2P,0.0
MgNbVO4,0.0
MgFe8(O7F)2,0.0
MgFeBiO5,0.0
MgFeCo3O8,0.0
MgFeF6,0.0
MgFeRh2,0.0
MgFeSiO5,0.0
MgGa,0.0
MgFe6O11F,0.0
MgFe3(OF)3,0.0
MgFe2O5,0.0
MgFe3Co2Sb(PO4)6,0.0
MgFe2(PO5)2,0.0
MgFe12(OF)12,0.0
MgFe11O18,0.0
MgFe10(O4F)4,0.0
MgFe3Co5O16,0.0
MgFe4Si2Sn7O16,0.0
MgFe4(CuO4)3,0.0
MgFe3Ni2Sb(PO4)6,0.0
MgGa2,0.0
MgGe3,0.0
MgGeRh2,0.0
MgHg3,0.0
MgIn2,0.0
MgIn,0.0
MgHg5,0.0
MgGa3,0.0
MgGaPd2,0.0
MgGaNi2,0.0
MgGaIr2,0.0
MgGaCu,0.0
MgGaAu2,0.0
MgGaAg2,0.0
MgGa5,0.0
MgCo4(NiS4)2,0.0
MgCo4(P2O7)4,0.0
MgCo5N4,0.0
MgCo6O7F5,0.0
MgCoBi2O7,0.0
MgCoCu3Se4,0.0
MgCoGe,0.0
MgCoNi,0.0
MgCoNiP2O9,0.0
MgCr7(SO4)12,0.0
MgCr4O8,0.0
MgCo4(CuO4)3,0.0
MgCr4O12,0.0
MgCr3(SO4)6,0.0
MgCr2(PO5)2,0.0
MgCr2(CoO3)4,0.0
MgCoSiO5,0.0
MgCo3C,0.0
MgCo3BiO8,0.0
MgCdAg2,0.0
MgCd3,0.0
MgCdAu2,0.0
MgCo3(P2O7)2,0.0
MgCo3,0.0
MgCo2Si,0.0
MgCo2(PO4)2,0.0
MgCo2(NiS2)4,0.0
MgCo2,0.0
MgCdPd2,0.0
MgCo2(CuO4)2,0.0
MgCrCu3Se4,0.0
MgCu6OF11,0.0
MgCu6(OF)4,0.0
MgCuAs,0.0
MgCuSn,0.0
MgCuSb,0.0
MgCuPb,0.0
MgCuP4(RuO7)2,0.0
MgCuO2,0.0
MgCuF5,0.0
MgCu2O3,0.0
MgCu2Ag(SeO5)2,0.0
MgCu2Ag(SO5)2,0.0
MgCu2(TeO4)2,0.0
MgCu3,0.0
MgCu,0.0
MgCu2,0.0
MgCu4Sn,0.0
MgCu3(BiO3)4,0.0
MgCu3(NiO3)4,0.0
MgCu4(ClO3)2,0.0
MgCu3O4,0.0
MgMn6O7F5,0.0
MgMn8(OF)8,0.0
MgMnAlS4,0.0
MgMnGe,0.0
MgMnGaS4,0.0
MgMnFeS4,0.0
MgMnCrS4,0.0
MgMnCoO4,0.0
MgMnCo5O12,0.0
MgMnCo3O8,0.0
MgMnCd6O8,0.0
MgMn6(O5F)2,0.0
MgMnInS4,0.0
MgMn6O11F,0.0
MgMnN2,0.0
MgNb3SiO10,0.0
MgNb4(IO2)4,0.0
MgNb4(NO)4,0.0
MgNbRu2,0.0
MgNbRh2,0.0
MgNbBi3O7,0.0
MgNb4(SnO6)2,0.0
MgNb4(O2F)4,0.0
MgNb2PdS6,0.0
MgMo2(BrO)4,0.0
MgMnVS4,0.0
MgMnVP2(O4F)2,0.0
MgMnTl(VS2)4,0.0
MgMo2(IrO6)2,0.0
MgMnTe4,0.0
MgMnNiS4,0.0
MgMnNbO4,0.0
MgMnRh2,0.0
MgMo2(WS4)2,0.0
MgNb2(I3O)2,0.0
MgNb2,0.0
MgMoW3S8,0.0
MgMo2HO6,0.0
MgMn12(O7F5)2,0.0
MgMn12O17F7,0.0
MgMn2(CoO4)2,0.0
MgMn2(PO5)2,0.0
MgMn2O4,0.0
MgMn3Cd2O8,0.0
MgMn2Zn2O6,0.0
MgMn2P2O9,0.0
MgIn5,0.0
MgIn3,0.0
MgMn3Cu3O8,0.0
MgMn(CoO3)2,0.0
MgMn(CoO2)4,0.0
MgIr2(WO6)2,0.0
MgIr2,0.0
MgIr,0.0
MgInS3,0.0
MgInRh2,0.0
MgInPd2,0.0
MgInNi2,0.0
MgInIr2,0.0
MgMn3CuO8,0.0
MgMn5CuO12,0.0
MgMn4ZnS8,0.0
MgMn4ZnO8,0.0
MgMn4Zn2O8,0.0
MgMn4O8,0.0
MgMn4(NiO4)2,0.0
MgMn4(HO4)2,0.0
MgMn4(ZnS4)2,0.0
MgMn4(CuO4)2,0.0
MgMn3SnO8,0.0
MgMn3O6,0.0
MgMn4Cu2(PO4)6,0.0
MgMn4O7F,0.0
MgMn4In2O10,0.0
MgMn4Cd2O8,0.0
MgMn4FeO8,0.0
MgMn4CuO8,0.0
MgCd2Te2(MoO6)2,0.0
Mn2P3O10,0.0
Mn4CuO8,0.0
Mn4Fe2P3,0.0
Mn4Fe2Sb3,0.0
Mn4Fe8Si3Ge,0.0
Mn4Fe8SiGe3,0.0
Mn4FeC2,0.0
Mn4FeGe3,0.0
Mn4FeO5,0.0
Mn4FeS5,0.0
Mn4Ga3Co8Ge,0.0
Mn4Ga3Cu2,0.0
Mn4In4(SeS)5,0.0
Mn4O7F,0.0
Mn4O3F5,0.0
Mn4NiO8,0.0
Mn4N,0.0
Mn4InSb3,0.0
Mn4Cu,0.0
Mn4CrO8,0.0
Mn4Cr(GaCo2)5,0.0
Mn4Al11,0.0
Mn4(PO4)3,0.0
Mn4Al19,0.0
Mn3ZnO7,0.0
Mn3ZnC,0.0
Mn3Zn8N9,0.0
Mn3W3C,0.0
Mn3VP4,0.0
Mn4AsP3,0.0
Mn4CoO8,0.0
Mn4CoNi3Ge4,0.0
Mn4CdS5,0.0
Mn4CdO5,0.0
Mn4BiSb3,0.0
Mn4B,0.0
Mn5CuO12,0.0
Mn5Fe5(SiC)2,0.0
Mn5Fe5Si6,0.0
Mn5FeN4,0.0
Mn5FeO12,0.0
Mn5Ga4Pd3,0.0
Mn5Sb4,0.0
Mn5Sb3O16,0.0
Mn5Sb(PO4)6,0.0
Mn5OF11,0.0
Mn5O8,0.0
Mn5Cu(PO4)6,0.0
Mn5O3F5,0.0
Mn5NiN4,0.0
Mn5Nb7N2,0.0
Mn5O5F,0.0
Mn5Cr(PO4)6,0.0
Mn5CoN4,0.0
Mn4Zn(CuO4)3,0.0
Mn4VSe5,0.0
Mn4TeO8,0.0
Mn4Te3Se,0.0
Mn4ZnO6,0.0
Mn4SiO7,0.0
Mn4Se3N2,0.0
Mn4S3N2,0.0
Mn4SiMoC,0.0
Mn4ZnO8,0.0
Mn4ZnS8,0.0
Mn5Co(PO4)6,0.0
Mn5BPd15,0.0
Mn5B2P,0.0
Mn5Al8,0.0
Mn5Al2V,0.0
Mn5(P2O7)4,0.0
Mn5(NiBi2)2,0.0
Mn3VCu2(PO4)6,0.0
Mn3NbFe2(PO4)6,0.0
Mn3NbNi2(PO4)6,0.0
Mn3Ni(PO4)4,0.0
Mn3Ni2Te3O16,0.0
Mn3Ni3(TeO8)2,0.0
Mn3NiN,0.0
Mn3NiP2,0.0
Mn3O4,0.0
Mn3O5F,0.0
Mn3NbCr2(PO4)6,0.0
Mn3Nb2Co3O16,0.0
Mn3Ge,0.0
Mn3GaC,0.0
Mn3Ga4Ni9,0.0
Mn3FeSn2(PO4)6,0.0
Mn3FeP4,0.0
Mn3FeO8,0.0
Mn3GeC,0.0
Mn3Nb(PO4)6,0.0
Mn3N2,0.0
Mn3Mo3C,0.0
Mn3IrN,0.0
Mn3In2Sb3O14,0.0
Mn3HO6,0.0
Mn3GeN,0.0
Mn3GeIr,0.0
Mn3Ir,0.0
Mn3OF5,0.0
Mn3Sn2,0.0
Mn3Sn,0.0
Mn3SiW2,0.0
Mn3SiNi2,0.0
Mn3SiNi,0.0
Mn3SiN4,0.0
Mn3Sn2Pd5,0.0
Mn3SiIr,0.0
Mn3Si,0.0
Mn3Se3O10,0.0
Mn3SbO8,0.0
Mn3Sb2,0.0
Mn3VCr2(PO4)6,0.0
Mn3V8N9,0.0
Mn3V2Si3,0.0
Mn3V2O10,0.0
Mn3V2Ga2Co,0.0
Mn3SnC,0.0
Mn3V2Co3O16,0.0
Mn3V17Si12,0.0
Mn3V(PO4)6,0.0
Mn3TeO8,0.0
Mn3Te2Se,0.0
Mn3SnN,0.0
Mn3Sb,0.0
Mn3Sb(PO4)4,0.0
Mn3OF6,0.0
Mn3OF8,0.0
Mn3Rh,0.0
Mn3ReO6,0.0
Mn3Pt,0.0
Mn3Pd5,0.0
Mn3P3O13,0.0
Mn5Si3,0.0
Mn8Si8Mo3,0.0
Mn8Sn5,0.0
Mn8Zn14Ga27,0.0
Mn9(Cu3O10)2,0.0
Mn9(FeN4)2,0.0
Mn9(P2O7)8,0.0
Mn9(PbO5)4,0.0
Mn9(Si2O9)2,0.0
Mn9Al4V3,0.0
Mn9Au31,0.0
Mn9CdO10,0.0
Mn9Zn2O13,0.0
MnAl(WO4)2,0.0
MnAl,0.0
MnAg2SnTe4,0.0
MnAg2SnSe4,0.0
MnAg2Sn3S8,0.0
Mn7Sn(PO4)12,0.0
Mn7SbAsO12,0.0
Mn7Sb4,0.0
Mn7Sb(PO4)12,0.0
Mn7Pd9,0.0
Mn7SnN2,0.0
Mn7Ni8Sn,0.0
Mn7Ni(PO4)12,0.0
MnAl12Fe,0.0
Mn8(Al9Zn)3,0.0
Mn8Nb3Al,0.0
Mn8HO16,0.0
Mn8Fe3N8,0.0
Mn8Cl3O10,0.0
Mn8Nb3Si,0.0
MnAl24Cr,0.0
MnAl2Cr3,0.0
MnAu2,0.0
MnAu3,0.0
MnAu4,0.0
MnAuO2,0.0
MnB,0.0
MnB4,0.0
MnB4Mo3,0.0
MnB4W3,0.0
MnBO3,0.0
MnBe12,0.0
MnBiO3,0.0
MnBeRu2,0.0
MnBe4Al,0.0
MnBe2Ru,0.0
MnBe2Rh,0.0
MnBe2Pt,0.0
MnBe2Ir,0.0
MnBe2Co,0.0
MnAsRu,0.0
MnAsRh,0.0
MnAlIr2,0.0
MnAlGe,0.0
MnAlFe2,0.0
MnAlCuPd,0.0
MnAlCo2,0.0
MnAl6,0.0
MnAl2Tc,0.0
MnAl2Ni,0.0
MnAl2Cu,0.0
MnAlCu2,0.0
MnAl2Co,0.0
MnAlNi2,0.0
MnAlOs2,0.0
MnAsPd2,0.0
MnAsPd,0.0
MnAs,0.0
MnAlV2,0.0
MnAlPt,0.0
MnAlPd2,0.0
MnAlRu2,0.0
Mn7Fe3O20,0.0
Mn7Fe3,0.0
Mn7Fe(PO4)12,0.0
Mn6O5F7,0.0
Mn6Ga29,0.0
Mn6Cr9O20,0.0
Mn6C,0.0
Mn6BiPO12,0.0
Mn6BP,0.0
Mn6Al31Ni2,0.0
Mn6Al31Cu2,0.0
Mn5SnO8,0.0
Mn5Sn(PO4)6,0.0
Mn5SiC,0.0
Mn5V(PO4)6,0.0
Mn6HO12,0.0
Mn6Ni16As7,0.0
Mn6Mo6P7,0.0
Mn6O11F,0.0
Mn6Ni16P7,0.0
Mn6Ni16Ge7,0.0
Mn7(AsO8)2,0.0
Mn7(AsO4)6,0.0
Mn6Zn2CN,0.0
Mn6Si8Mo5,0.0
Mn6Si7Ni16,0.0
Mn7(P2O7)4,0.0
Mn6OF11,0.0
Mn6PO12,0.0
Mn7(PbO5)3,0.0
Mn7Cu(PO4)12,0.0
Mn7Cr(PO4)12,0.0
Mn7Co(PO4)12,0.0
Mn7CdO12,0.0
Mn7BiO12,0.0
Mn7(Si2Mo)4,0.0
Mn7C3,0.0
Mn5Si2Ge,0.0
Mn3FeNi2(PO4)6,0.0
MgTaIr2,0.0
MgTaOs2,0.0
MgTaRu2,0.0
MgTe(WO4)3,0.0
MgTeWO6,0.0
MgTi2,0.0
MgTi14O25,0.0
MgTi11O20,0.0
MgTi(SiO3)2,0.0
MgTi(Si2O5)2,0.0
MgTi(GaO2)4,0.0
MgTa2N3,0.0
MgSn3,0.0
MgSn3P3O13,0.0
MgSn2,0.0
MgTa2(ReO6)2,0.0
MgSnRh2,0.0
MgSnIr2,0.0
MgSnF5,0.0
MgTi3,0.0
MgTi3(SnO4)3,0.0
MgTi3CuO8,0.0
MgTi3Fe2Co(PO4)6,0.0
MgTi3Nb3O12,0.0
MgTi3O6,0.0
MgTi4(CuO4)3,0.0
MgTi4O6,0.0
MgTi4Cr2O10,0.0
MgTi4(CuS4)2,0.0
MgTi2NiO6,0.0
MgTi2Nb2(CuO4)3,0.0
MgTi2Al4O10,0.0
MgTi2O4,0.0
MgTi23O40,0.0
MgTi2(HgO3)2,0.0
MgTi2Tl2W2(O5F)2,0.0
