formula,FE
SmTh4O10,-3.998219313041671
Nd3SOF5,-3.996441697781255
KYF4,-3.994587704726852
UF3,-3.994397740208337
NaSmF4,-3.993415730555556
CePaO4,-3.992559862499997
Y5Tm11O24,-3.9924578452500015
EuZr3F15,-3.99204640710527
NaLaF4,-3.9911882730555535
NdPaO4,-3.9908474379166656
Ba2TiOF6,-3.9894607345833344
Er2O3,-3.988030907833334
BaMgF4,-3.987923134166665
Ba3SrMg4F16,-3.98762026
MgZrF6,-3.98657060875
Th2ZrUO8,-3.986290726666665
Nd2Th3O9,-3.9854564896428015
BaLiZr2F11,-3.979058946055555
KU6F25,-3.9773645067578087
Na2Sr7Al6F34,-3.97535511526038
Ba2SrMg4F14,-3.973928339642857
NaNdF4,-3.973730088472221
CaTiF6,-3.9734046210416665
LaTh4O10,-3.971424077666666
Ba6Mg7F26,-3.9696782892307705
Ba6Eu(ClF6)2,-3.9667873330952377
Rb2Hf3OF12,-3.9643398040277753
Ba7BrClF12,-3.962941995238096
PrPaO4,-3.962747092777775
Ho2O3,-3.960604681249998
RbCaZrF7,-3.9572934875
RbNdF4,-3.956701624166668
NaPrF4,-3.956030300277776
La2Th2O7,-3.955574908977277
KGdF4,-3.955108528708328
Ba2Mg3F10,-3.951371944666666
NaGdF4,-3.950004195
RbPrF4,-3.948232666527773
Y11Tm5O24,-3.946254758999999
KCeF4,-3.942508664124993
EuZrF7,-3.941181963055556
BaCaTiF7,-3.940617307583333
Y13Ho19O48,-3.939802512455356
Ba6Mg11F34,-3.938717552745098
PuF4,-3.938119182416665
PuPaO4,-3.938069174791669
Dy2O3,-3.937661027249999
ErLuO3,-3.937522080875005
Dy29Y3O48,-3.9350139609609385
Lu3AlO6,-3.9343412265
Y13Tm3O24,-3.9317486035
BaBeF4,-3.930721935000001
BaTiOF4,-3.929628646190476
Y4TiSi2(O3F2)3,-3.929533184583333
DyLuO3,-3.928408157583328
Ho2Hf2O7,-3.926320773181818
LuScO3,-3.926149183791669
TbLuO3,-3.924287014083333
Er4Zr3O12,-3.9232259446491216
LaLuO3,-3.9222810938333312
ScPaO4,-3.921775249166662
Er2Hf2O7,-3.921520423106056
Dy3Y5O12,-3.9213175535000007
Eu7(ClF6)2,-3.921033120952381
Y5U2O12,-3.92071691736842
Y2Hf2O7,-3.920588861818182
SrBeF4,-3.920462789166667
Y13Ho3O24,-3.9188339391249984
KU2F9,-3.917293734270833
HfO2,-3.914961416666671
LaUO4,-3.9148495524999936
Ba12Cl5F19,-3.914423715208334
RbScF4,-3.9131339787499937
Ho4Zr3O12,-3.9110566397368416
Y2HfO5,-3.910703976875002
La6S3(OF4)2,-3.9103508230263166
Y2O3,-3.910085815250001
Sm4Th3O12,-3.909113425526312
La3U2O10,-3.908988927333333
KTmBeF6,-3.907061975805557
Ba4OF6,-3.906136680681818
RbTmBeF6,-3.9040592147222224
CeUO4,-3.902760143333332
NaU2F9,-3.901174037291668
RbErBeF6,-3.898923690833333
TmScO3,-3.898243506874997
KHoBeF6,-3.897563671916666
DyTmO3,-3.8970389110000014
CaAl2F8,-3.896533203636361
CaTiF5,-3.89641598654762
RbHoBeF6,-3.895822980833332
RbDyBeF6,-3.89569728324074
Y9U5O28,-3.8948432395238073
YUO4,-3.8932016633333295
TbTmO3,-3.892170830500001
Sm6Th4O17,-3.890457659537034
Ba2Na2SrAl4F20,-3.8898458892330567
La2UO6,-3.889383967222222
Y10U4O27,-3.888605575914632
RbCeF4,-3.888465975833328
Ba2Y3Si2O8F5,-3.8861518306250007
Y4Zr3O12,-3.885125138684211
ErScO3,-3.884429310916668
Gd2Hf2O7,-3.88347926363636
PaO2,-3.883186883333333
Rb2ThF6,-3.882363957777776
HoErO3,-3.881373952333333
Gd3Y13O24,-3.88089083175
HoScO3,-3.879838454999998
DyErO3,-3.878652760874997
RbU3F13,-3.878211019705882
SrLiAlF6,-3.8778360842592594
RbYBeF6,-3.8762229191666666
Lu4Al2O9,-3.8761193467777777
Hf3Sc4O12,-3.874802696578947
DyScO3,-3.874299900625
Ba12Br3Cl2F19,-3.8737453952083336
Na3Sr4Al5F26,-3.873259802937841
NaNp2F9,-3.871932548541667
LiCaAlF6,-3.8718742942592583
AlF3,-3.867549461875
KNaThF6,-3.8637431804166655
Sc2O3,-3.86260579275
Tm4Al2O9,-3.862403275500002
YU2O6,-3.86227419722222
LaScO3,-3.862127494500001
KCaAl2F9,-3.8603976112628207
KScF4,-3.860122636458333
Rb2Zr3OF12,-3.859345183472223
EuF3,-3.8591822581249993
DyHoO3,-3.859029177708332
PrLuO3,-3.853452158666664
LaY3Sc4O12,-3.852342200062499
NaNp3F13,-3.851692748602936
Gd3Y5O12,-3.8516206445
La2Zr2O7,-3.850635112272727
ThU4O10,-3.849835788999997
BaMgTiF7,-3.847862337583334
NdLuO3,-3.847074978458335
Ce4ThO8,-3.8468759807692288
Sm3Y5O12,-3.844228756499999
CaTaF7,-3.844074071833333
LiScF4,-3.8439861199074064
SmTmO3,-3.8438492361250014
LaU2O6,-3.8434153433333336
Sm6U3O17,-3.842271177211505
BaSiF6,-3.841025105625
TbHoO3,-3.8404037898749976
Ca2Hf7O16,-3.839626403600005
LiZr5TlF22,-3.839063924367816
LaErO3,-3.837039673791671
La3NdZr4O14,-3.836848334999995
KLiLuF5,-3.836247173072916
CsCeF5,-3.832746015843597
Ce10Y22O53,-3.832588085205881
Tm3Sc2Al3O12,-3.8320490027500016
NaCaAlF6,-3.8318881570051087
Na2ThF6,-3.831392792777775
Li3Zr4F19,-3.8313616775961536
CaTi2F10,-3.831332172435898
CeLuO3,-3.8307937009583326
SrCa2Lu10O18,-3.830036411263464
EuPaO4,-3.829891990833341
KZrF5,-3.82789349327381
Er3Sc2Al3O12,-3.8273996217499984
NaSrAlF6,-3.8267832568199234
NaHf2VF11,-3.826659453925288
GdTmO3,-3.825736673124996
MgF2,-3.8256231883333336
U3TlF13,-3.8253819692647073
KLiTmF5,-3.822806559135418
Er2Zr2O7,-3.8225734921969714
Ba2ClF3,-3.822532442916668
LiUF5,-3.821936086309525
Ho3Sc2Al3O12,-3.8218447451249977
Tb2Zr2O7,-3.82177333556818
Y3AlO6,-3.8213370010000007
KLiDyF5,-3.820759255989584
Dy3Sc2Al3O12,-3.820028183625
NaHf2TiF11,-3.820020008814176
Dy2Zr2O7,-3.819731520568178
GdScO3,-3.8186932895000014
LaHoO3,-3.816691366625
Tb4Al2O9,-3.815851893944445
NdScO3,-3.8157279864999993
EuLu2O4,-3.8155512922619073
Ce2Zr2O7,-3.815142667272728
KLiErF5,-3.814942219760416
LiCeF5,-3.814720272261898
Gd2HfO5,-3.8145281654687473
SmErO3,-3.8136884161666673
Tm2TiO5,-3.813481975520837
Gd5Y3O12,-3.813260301
HfZrO4,-3.812231705416669
Y2Zr2O7,-3.8122296461363674
KLiHoF5,-3.811857726947916
CaHfTlF7,-3.8116927040833337
Ce2SeF4,-3.8098941389062473
KLiTbF5,-3.80876366246875
Zr3Sc4O12,-3.8081585774736846
SrCaHf2O6,-3.8075048511666663
NdHoZr2O7,-3.805552671022737
Ce14Y18O55,-3.805126743419539
CeU5O12,-3.8041960544444415
Pr3NF6,-3.802406133874999
CeTmO3,-3.802354393375
Ce7O12,-3.801037862105264
CsU2F9,-3.800882254346264
Nd3HoZr4O14,-3.8007365648295592
CsUF6,-3.80047980558189
Ba4Nb2(OF4)3,-3.8000712825793648
Pr6S3(OF4)2,-3.799739486447369
LaDyO3,-3.7989788544999983
La8Hf4MgO20,-3.798681465909091
BaCaVF7,-3.7975624715
Tm3TaO7,-3.797023632939393
Ce5O9,-3.796986601785712
MgTiF6,-3.7968664966666665
Nd2Zr2O7,-3.796512809090909
Ce11O20,-3.795988283870968
BaLa2Sc2O7,-3.7955672097916655
Er2TiO5,-3.794446300104166
K2LuF5,-3.793726378645832
SmHoO3,-3.792554419999999
CaLu2O4,-3.791863836726191
Y4Al2O9,-3.791068121333333
EuTm2O4,-3.790258124285718
CeHfO4,-3.7901199358333386
La3AlO6,-3.7896055654999983
Ce2Y2O7,-3.7884873729545423
La4Al2O9,-3.788456029833332
ZrO2,-3.787402125
KLiYF5,-3.7871767000729166
Sm3Sc2Al3O12,-3.786423190749999
Gd2Zr2O7,-3.7861046931818176
LaYO3,-3.786044454125002
Ce13O24,-3.7855797894594585
Gd3Sc2Al3O12,-3.785238589625001
Ho2TiO5,-3.7850311920833306
K2TmF5,-3.784569171187502
SrLu2O4,-3.783718376190474
Ba4SrHf5O15,-3.7812251084999993
SrTaF7,-3.780471056648148
Dy2TiO5,-3.779494551458335
NaPuF4,-3.779431283125001
Ce16O27,-3.7793292501162816
Ba2Mg2MnF10,-3.779218328195402
UF5,-3.777857030416667
Ce4YO9,-3.7757616859821246
Ce6Y2O15,-3.775397985760868
BaSm2Sc2O7,-3.774606431458303
NaCaMg2F7,-3.774236094898119
La4Ti3O12,-3.77382953
SmDyO3,-3.773062439374999
BaThO3,-3.772514310499997
BaCaCrF7,-3.772466551000001
SrCaCrF7,-3.77244958275
