formula,FE
P2RuS7,-0.20729999999999998
P3Ru2S9,-0.27677857142857143
PRuS,-0.6844
P3Ru5S3,-0.22067272727272727
PRu2S,-0.111025
P2RuS6,-0.19492222222222222
P2RuS8,-0.17715454545454545
P4RuS12,-0.0841
P3Ru2S,-0.04488333333333333
P2OsS6,-0.13884444444444444
P2OsS7,-0.15893
P2OsS8,-0.11936363636363635
P4OsS12,-0.05188235294117647
P3Os2S,0.14035
POsS,-0.5651666666666667
P(OsS5)2,-0.11307692307692307
POsS6,-0.024875
Co2P2S7,-0.18557272727272728
Co2(PS3)3,-0.29166428571428576
Co3(PS4)2,-0.2183153846153846
Co4P2S,-0.3833285714285714
Co(PS3)2,-0.2005
CoPS,-0.6981333333333333
CoPS3,-0.33416
CoPS4,-0.3434166666666667
Co2P4S13,-0.2529842105263158
CoP2S7,-0.19682
Co5(PS)3,-0.2595818181818182
Co2PS,-0.239625
PRhS4,-0.40959999999999996
P4Rh2S13,-0.30478421052631577
PRhS3,-0.33598
P2RhS7,-0.23473000000000002
P3Rh2S9,-0.3563928571428571
PRhS,-0.8335
P3Rh5S3,-0.3513545454545455
PRh2S,-0.355175
PIrS4,-0.3598333333333333
P4Ir2S13,-0.26745789473684206
PIrS3,-0.28806
P2IrS7,-0.21427000000000002
P3Ir2S9,-0.3077357142857143
PIrS,-0.8269666666666667
P3Ir5S3,-0.22562727272727273
PIr2S,0.049125
P2IrS8,-0.18294545454545455
P(IrS5)2,-0.09729230769230769
PIrS6,-0.07605
P2IrS6,-0.2147777777777778
P4IrS12,-0.03367058823529412
P3Ir2S,0.07155
Ni2P2S7,-0.19866363636363635
Ni2(PS3)3,-0.17623571428571427
Ni3(PS4)2,-0.2297
Ni4P2S,-0.3286142857142857
Ni(PS3)2,-0.17894444444444446
NiPS,-0.4614666666666667
NiPS3,-0.28096
Ni4P3S5,-0.432725
PdS2,-0.3408
Pd3S2,-0.29698
PdS,-0.4389
Pd3S,-0.26625
Pd4S,-0.23634
P2Pd2S7,-0.18555454545454547
P3Pd2S9,-0.14543571428571428
P2Pd3S8,-0.20925384615384615
P2Pd4S,-0.24741428571428573
P2PdS6,-0.21587777777777778
PPdS,-0.4792666666666667
PPdS3,-0.25044
P2PdS7,-0.17746
P2PdS8,-0.16602727272727272
P4PdS12,-0.04684117647058823
P3Pd2S,0.044250000000000005
PtS2,-0.4325333333333334
Pt2S3,-0.39436
Pt3S4,-0.37647142857142857
Pt3S8,-0.25432727272727274
PtS,-0.4542
P2Pt2S7,-0.15411818181818182
P3Pt2S9,-0.13009285714285715
P2Pt3S8,-0.16970000000000002
P2Pt4S,0.004957142857142857
P2PtS6,-0.2653888888888889
PPtS,-0.5548000000000001
PPtS3,-0.16376
P2PtS8,-0.18180909090909092
P(PtS5)2,-0.10506153846153846
PPtS6,-0.1393625
P2PtS7,-0.22111999999999998
P4PtS12,-0.03981764705882353
P3Pt2S,0.11671666666666668
PAuS4,-0.1759166666666667
P4Au2S13,-0.13135263157894736
PAuS3,-0.11776
P2AuS7,-0.049120000000000004
P3Au2S9,-0.08837857142857143
PAuS,-0.08413333333333334
P3Au5S3,0.27923636363636367
PAu2S,0.097875
Zn2P2S7,-0.41464545454545454
Zn2(PS3)3,-0.3749357142857143
Zn3(PS4)2,-0.4866769230769231
Zn4P2S,-0.04241428571428572
Zn(PS3)2,-0.1323777777777778
ZnPS,-0.33876666666666666
ZnPS3,-0.44514
Cd2P2S7,-0.3726636363636364
Cd2(PS3)3,-0.32695
Cd3(PS4)2,-0.41254615384615384
Cd4P2S,-0.01447142857142857
Cd(PS3)2,-0.12216666666666666
CdPS,-0.24113333333333334
CdPS3,-0.43516000000000005
Hg2P2S7,-0.2181909090909091
Hg2(PS3)3,-0.2039357142857143
Hg3(PS4)2,-0.2209076923076923
Hg4P2S,0.2035857142857143
Hg(PS3)2,-0.02915555555555556
HgPS,-0.0761
HgPS3,-0.22913999999999998
AlPS4,-0.6039666666666667
Al2P4S13,-0.45969999999999994
AlPS3,-0.48922
AlP2S7,-0.33835000000000004
Al2(PS3)3,-0.5594214285714286
