Ag3AsSe3,-0.29074423207589206
Ag3AsSe3,-0.30236748243303524
As2SeS2,-0.07573488960418188
AsIrSe,-0.6227897146874994
AsOsSe,-0.31358364552083157
AsRhSe,-0.6661096080208324
AsRuSe,-0.48735761302083347
Ba2As2Se5,-1.2948689168576415
Cs3AsSe4,-1.074429731042566
Cs5As5Se9,-0.8694284266773489
CsAs2Se3,-0.704343556114401
CsAsSe2,-0.8613436367106688
CsAsSe2,-0.8637724010856838
CoAsSe,-0.36787486552082765
CoAsSe,-0.38076552010416737
CuAsSe2,-0.06373357765625443
ErAsSe,-1.6240672449652749
FeAsSe,-0.4749235316145845
GeAsSe,-0.32834014494791813
HoAsSe,-1.6418201305208342
In3AsSe3,-0.5877752744791727
LiAsSe2,-0.6450723543229167
LiAsSe2,-0.6300433343229201
LiAsSe2,-0.5527182280729193
K3AsSe3,-1.1109785591116068
K3AsSe4,-1.0418590413906248
K4As2Se5,-1.0213386173380672
KAsSe2,-0.8468918267343755
Na3AsSe3,-0.9565183799553572
NaAsSe2,-0.6452812540624997
NaAsSe2,-0.6503431157812489
PrAsSe,-1.6870357077430544
SmAsSe,-1.6902748055208316
Rb3AsSe16,-0.708004894374999
Rb3AsSe4,-1.0551996005468736
RbAsSe2,-0.8514375496093765
Tl3AsSe3,-0.5120251563616119
Tl3AsSe4,-0.513113273359378
TlAsSe2,-0.4756940084114607
